province;red;green;blue;x;x
1;128;34;64;Stockholm;x
2;0;36;128;?sterg?tland;x
3;128;38;192;Sm?land;x
4;0;40;255;Bergslagen;x
5;128;42;0;V?rmland;x
6;0;44;64;Sk?ne;x
7;129;46;128;V?sterg?tland;x
8;1;48;192;Dalaskogen;x
9;129;50;255;H?lsingland;x
10;1;52;0;J?mtland;x
11;129;54;64;prov11;
12;1;56;128;Sj?lland;x
13;129;58;192;Slesvig;x
14;2;60;255;Fyn;x
15;130;62;0;Midtjylland;x
16;2;64;64;Bohusl?n;x
17;130;66;128;Akershus;x
18;2;68;192;prov18;
19;130;70;255;?sterbotten;x
20;2;72;0;prov20;
21;131;74;64;prov21;
22;3;76;128;Oplandene;x
23;131;78;192;Bergenshus;x
24;3;80;255;Stavanger;x
25;131;82;0;Gotland;x
26;3;84;64;Halland;x
27;131;86;128;Finland;x
28;4;88;192;Nyland;x
29;132;90;255;Tavastland;x
30;4;92;0;Viborg;x
31;132;94;64;Savolax;x
32;4;96;128;Kexholm;x
33;132;98;192;Neva;x
34;4;100;255;Ingermanland;x
35;133;102;0;?sel;x
36;5;104;64;Estland;x
37;133;106;128;Livland;x
38;5;108;192;Riga;x
39;133;110;255;Kurland;x
40;5;112;0;Memel;x
41;133;114;64;Ostpreussen;x
42;6;116;128;Warmia;x
43;134;118;192;Danzig;x
44;6;120;255;Hamburg;x
45;134;122;0;L?beck;x
46;6;124;64;Mecklenburg;x
47;134;126;128;Stralsund;x
48;6;128;192;Kolberg;x
49;135;130;255;Neumark;x
50;7;132;0;Berlin;x
51;135;134;64;Ruppin;x
52;7;136;128;Magdeburg;x
53;135;138;192;L?neburg;x
54;7;140;255;Bremen;x
55;135;142;0;Oldenburg;x
56;8;144;64;Osnabr?ck;x
57;136;146;128;Hannover;x
58;8;148;192;Anhalt;x
59;136;150;255;Meissen;x
60;8;152;0;Lausitz;x
61;136;154;64;Dresden;x
62;8;156;128;Leipzig;x
63;137;158;192;Erfurt;x
64;9;32;255;Niederbayern;x
65;137;34;0;M?nchen;x
66;9;36;64;Bamberg;x
67;137;38;128;Aktogay;x
68;9;40;192;Memmingen;x
69;137;42;255;Konstanz;x
70;10;44;0;W?rttemberg;x
71;138;46;64;Leiningen;x
72;10;48;128;Breisgau;x
73;138;50;192;Tirol;x
74;10;52;255;Tokmok;x
75;138;54;0;Elsass;x
76;10;56;64;Salzburg;x
77;139;58;128;Worms;x
78;11;60;192;Pfalz;x
79;139;62;255;W?rzburg;x
80;11;64;0;Trier;x
81;139;66;64;Hessen;x
82;11;68;128;Lippe;x
83;139;70;192;Nassau;x
84;12;72;255;Akzhal;x
85;140;74;0;K?ln;x
86;12;76;64;M?nster;x
87;140;78;128;Calais;x
88;12;80;192;Artois;x
89;140;82;255;Picardie;x
90;12;84;0;Vlaanderen;x
91;141;86;64;Hainault;x
92;13;88;128;Brabant;x
93;141;90;192;Li?ge;x
94;13;92;255;Luxemburg;x
95;141;94;0;Noord;x
96;13;96;64;Zeeland;x
97;141;98;128;Holland;x
98;14;100;192;Utrecht;x
99;142;102;255;Gelre;x
100;14;104;0;Friesland;x
101;142;106;64;Liguria;x
102;14;108;128;Nice;x
103;85;80;32;Niklas;x
104;14;112;255;Lombardia;x
105;143;114;0;Parma;x
106;15;116;64;Modena;x
107;143;118;128;Brescia;x
108;15;120;192;Verona;x
109;143;122;255;Mantua;x
110;15;124;0;Trent;x
111;143;126;64;Friuli;x
112;16;128;128;Venezia;x
113;144;130;192;Ferrara;x
114;16;132;255;Romagna;x
115;144;134;0;Pisa;x
